Product Name,Company,Supplier,Current Stock,Batch,Unit,Cost Price,M.R.P.,Purchase Price,Rec.Date,EXP,Inv.No,Inv.Date
TELMA CT 80/6.25 1*15,GLENMARK,AMBEY MEDICAL AGENCIES,1.5,18210107,TAB.,281.99,375.0,267.85,08-Feb-22,2023-12-01,0030332,07-Feb-22
TEGRITAL CR 300 1*10,NOVARTIS,THE BHARAT MEDICAL AGENCY,3.0,101CPAR2,TAB.,36.1,46.03,32.89,06-Sep-22,2023-12-01,G17019,05-Sep-22
GLIMIPREX MF FORTE 1 10*,OTSIRA GENETICA,LARI DRUG DISTRIBUTORS,1.0,SPA22098,TAB.,54.94,73.05,52.18,15-Jul-22,2023-12-01,A016135,14-Jul-22
TAMDURA CAP 1*10,SUN PHARMA,SHRI RADHEY MEDICAL AGENCY,0.5,GKD1197A,CAP.,224.87,299.0,213.58,11-Nov-22,2023-12-01,G27125,10-Nov-22
TENORIC 100 1*10,IPCA,BHAGWATI DAWA GHAR,2.0,IPS010001AS,TAB.,61.19,80.5,57.5,26-Oct-21,2023-12-01,A-0005656,25-Oct-21
AMLOSAFE 2.5 1*15,ARISTO,LARI DRUG DISTRIBUTORS,3.0,SPA220036,TAB.,20.83,27.7,19.78,04-Jul-23,2023-12-01,A012191,01-Jul-23
GEMINOR MP 1 1*10,VENUS,SHRI RADHEY MEDICAL AGENCY,1.5,TGH2202A,TAB.,141.75,188.5,134.64,19-Jan-23,2023-12-01,G36714,18-Jan-23
SUMO COLD PCSAF SYP 1,CADILA,LARI DRUG DISTRIBUTORS,5.0,22490052,TAB.,55.83,82.5,58.93,15-Jan-23,2023-12-01,A043948,14-Jan-23
T GLIP-M 500 20*,INTAS,NARAYAN MEDICAL AGENCY,0.2,N2200247,TAB.,235.52,320.0,228.57,18-Apr-22,2023-12-01,A000817,18-Apr-22
GALVUS MET 50/500 1X15,NOVARTIS/CIBA,SHRI RADHEY MEDICAL AGENCY,1.0,X58MLBQ2,TAB.,244.41,328.5,234.64,13-Aug-23,2023-12-01,G16174,12-Aug-23
SUPRACAL K2 1*10,PHARMED LIMITED,GURU MAHIMA MEDICAL AGENCIES,2.0,SKTP22012,TAB.,187.25,249.0,177.86,16-Nov-22,2023-12-01,A006354,15-Nov-22
ALFUSIN D 1*15,CADILA,SHRI RADHEY MEDICAL AGENCY,1.0,CPLAC2001,TAB.,399.68,543.04,387.89,11-Jul-23,2023-12-01,G12077,10-Jul-23
TENLIMAC 20 1*10,MACLEODS,SHRI RADHEY MEDICAL AGENCY,1.5,KTM2201A,TAB.,56.18,75.5,53.93,05-Apr-22,2023-12-01,G00507,04-Apr-22
GABVID-NT 1*10,SPARK HELTH CARE PVT LTD,SHIVA PHARMA,2.8,LGL01/141/09,TAB.,144.55,190.0,135.85,29-Sep-22,2023-12-01,005164,28-Sep-22
CODISTAR SYP 1*R,MANKIND,SHRI RADHEY MEDICAL AGENCY,2.0,E7AJV008,SYP,75.82,131.07,93.62,09-Apr-22,2023-12-01,G01078,08-Apr-22
SYNAPTOL 50 1*10,SUN PHARMA,AMBEY MEDICAL AGENCIES,1.0,GTC  39A,TAB.,54.15,72.0,51.43,02-Nov-21,2023-12-01,0021054,01-Nov-21
SYNAPTOL 50 1*10,SUN PHARMA,NAVEEN MEDICO AGENCIES,0.6,GTC0039A,TAB.,53.57,72.0,51.43,19-Dec-21,2023-12-01,0025310,18-Dec-21
SYNAPTOL SR 300 1*10,SUN PHARMA LABOLATORIES LTD.,AMBEY MEDICAL AGENCIES,2.5,JMC0850A,TAB.,188.01,250.0,178.58,24-May-22,2023-12-01,A005293,23-May-22
GABANTIN NT 1*10,SUN PHARMA,SHRI RADHEY MEDICAL AGENCY,0.6,SZZ0004,TAB.,214.32,285.0,203.57,17-Mar-23,2023-12-01,G44395,16-Mar-23
GABANEURON 100 1*15,ARISTO,TULSYAN PHARMA,0.3,A210028,TAB.,94.86,127.5,91.07,16-Jun-21,2023-12-01,G09385,15-Jun-21
EZORB FORTE 15*,OVERSEAS H.CARE,AMBEY MEDICAL AGENCIES,0.5,EZF-1329,TAB.,171.26,230.2,164.42,10-Oct-21,2023-12-01,0018882,09-Oct-21
SUSTEN 300 1*10,SUN PHARMA,SHRI RADHEY MEDICAL AGENCY,0.4,ESX0971,TAB.,391.05,520.0,371.43,25-Dec-22,2023-12-01,G32953,22-Dec-22
ICN-200 10*R,avancer labs,NARAYAN MEDICAL AGENCY,0.3,AC-1841,TAB.,170.92,250.0,178.58,20-Jul-22,2023-12-01,L000278,19-Jul-22
AL-10 1*10*4,AVENCER LABS LTD,MODI MEDICAL,1.0,POZA011,TAB.,49.76,71.5,51.07,03-May-22,2023-12-01,A000109,02-May-22
EPIVAL 200MG/5ML 200ML,SUN,TULSYAN PHARMA,1.0,SXC2496A,SYP,96.66,129.92,92.8,19-Apr-22,2023-12-01,G02249,18-Apr-22
UNWANTED-72 1*152,MANKIND,LARI DRUG DISTRIBUTORS,12.0,C7AJV001,TAB.,27.57,110.0,88.0,15-Mar-23,2023-12-01,A052405,14-Mar-23
CHERI TAB 1*15,INDCHEMIE,KAURIRAM MEDICAL AGENCIES,1.5,22540650,TAB.,135.36,180.0,128.57,29-Jun-23,2023-12-01,A008707,27-Jun-23
A TO Z GOLD 1*15,ALKEM,SHRI RADHEY MEDICAL AGENCY,1.0,22089NAZIA,TAB.,147.21,200.0,135.6,09-Dec-22,2023-12-01,G30990,08-Dec-22
EBAST M TAB 10*,MICRO LABS LTD.,NAVEEN MEDICO AGENCIES,0.5,EBMS0049,TAB.,122.2,166.0,118.6,05-Mar-22,2023-12-01,0032301,04-Mar-22
PROLOMET-XL50 10*014,SUN,SHRI RADHEY MEDICAL AGENCY,0.3,GTD0184A,TAB.,48.14,64.7,46.21,04-Jun-22,2023-12-01,G07550,03-Jun-22
LIBRAX TAB 1*20,ABBOTT,SHRI RADHEY MEDICAL AGENCY,1.0,LXB23004,TAB.,125.87,167.39,119.56,23-Mar-23,2023-12-01,G45281,23-Mar-23
LIBRAX TAB 1*20,ABBOTT,SHRI RADHEY MEDICAL AGENCY,0.0,LXB23002,TAB.,125.87,167.39,119.56,03-Mar-23,2023-12-01,G42616,02-Mar-23
UPRISE D3 1K 1*10,ALKEM,LARI DRUG DISTRIBUTORS,2.0,22510019,CAP,40.19,53.44,38.17,05-May-22,2023-12-01,A004738,04-May-22
PRUVICT 1 1*10,TORRENT,BHARAT MEDICAL AGENCIES,0.3,2KH7H005,TAB.,154.84,205.9,147.07,21-Jun-22,2023-12-01,G13559,20-Jun-22
LIBOTRYP DS TAB 30*72,WOCKHARDT,SHRI RADHEY MEDICAL AGENCY,1.0,D2100016,TAB,126.22,171.5,122.5,21-Jun-22,2023-12-01,G09520,20-Jun-22
ATNITOR-5 1*10,ASPEN PHARMACEUTICAL,P K PHARMA,2.0,GENT34130,TAB.,218.77,320.0,228.58,02-Aug-22,2023-12-01,A003787,01-Aug-22
ADI-LIV 300 1*10,ARCHMED BIOTAK PVT LTD,DHANUKA MEDICAL AGENCY,0.0,GT2858C,TAB.,241.27,385.0,293.34,02-Jul-22,2023-12-01,A008001,30-Jun-22
ECOSPRIN GOLD 20 15*R,USV LTD.,AMBEY MEDICAL AGENCIES,0.7,APK22061,TAB.,128.48,161.0,120.75,03-Jan-23,2023-12-01,A029780,02-Jan-23
CHESTON COLD TAB 10*GE,CIPLA,SHREE SHYAM KRIPA PHARMA,12.1,GS20195,TAB.,15.0,46.75,13.39,28-Jul-22,2023-12-01,000A02173,27-Jul-22
ATEN 50MG TAB 1*14*1,CADILA,NARAYAN MEDICAL AGENCY,0.4,I100437,TAB,20.54,27.9,19.93,24-Apr-21,2023-12-01,0000933,23-Apr-21
LEFNO 10 10*,IPCA,TULSYAN PHARMA,0.5,GOU012001AS,TAB.,83.57,112.33,80.23,02-Jul-22,2023-12-01,G11698,01-Jul-22
CYTOGARD MR 35 MG 10*,ABBOTT,BHARAT MEDICAL AGENCIES,0.0,PLH0001,TAB.,97.61,129.79,92.71,10-Jul-22,2023-12-01,G16757,09-Jul-22
RABIUM-DSR 15*122,INTAS,SHRI RADHEY MEDICAL AGENCY,0.9,N2200063,CAP.,130.94,176.0,125.71,14-Jun-22,2023-12-01,G08751,13-Jun-22
CHERICOF SYP SMALL 60 ML,SUN PHARMACEUTICALS,SHRI RADHEY MEDICAL AGENCY,1.0,SXD0159A,SYP,49.01,70.0,43.75,25-Dec-22,2023-12-01,G32953,22-Dec-22
PREGEB M 75 10*,TORRENT,AGRAWAL MEDICINE,0.5,RF4422004A,CAPS,139.69,185.75,132.68,09-Jul-22,2023-12-01,A021550,08-Jul-22
AZITHRAL-500 1*5*5,ALEMBIC,SHRI RADHEY MEDICAL AGENCY,0.0,FA2799011,TAB.,99.53,132.36,94.54,17-Aug-22,2023-12-01,G16163,16-Aug-22
PETRIL BETA-10 10*015,MICRO LABS LTD.,TULSYAN TRADERS,0.2,PEDS0049,TAB.,22.96,41.0,29.29,14-Dec-21,2023-12-01,C26145,13-Dec-21
ACNONAC TAB 1*10,LUPIN,NAVEEN KAMANI MEDICAL AGENCIES,2.0,NBT22068,TAB.,190.19,250.0,178.75,04-May-23,2023-12-01,A004660,03-May-23
LORFAST-AM TAB 1*10,LE SANTE,SHRI RADHEY MEDICAL AGENCY,1.0,CJ22001,TAB,65.28,88.7,63.36,02-Jul-22,2023-12-01,G10798,01-Jul-22
AZEE 250 6*,CIPLA,TULSYAN TRADERS,0.1,SN10197,TAB.,48.21,70.69,50.49,16-May-21,2023-12-01,G05332,15-May-21
DYTOR 10 1*15,CADILA,VIKASH MEDICAL AGENCIES,0.0,SN10338,TAB.,58.05,77.19,55.14,12-Aug-21,2023-12-01,0009151,11-Aug-21
LOPAMIDE TAB 1*10,TORRENT,RAJ MEDICAL AGENCIES,0.1,2G92G021,TAB,15.53,21.18,15.07,04-Aug-21,2023-12-01,0010440,03-Aug-21
CHERICOF SYP SMALL 60 ML,SUN PHARMACEUTICALS,DHANUKA MEDICAL AGENCY,1.0,SXD0117A,SYP,48.26,70.0,50.0,21-Jul-22,2023-12-01,A009853,20-Jul-22
PLAVIX 75 1*14,SANOFI,SHRI RADHEY MEDICAL AGENCY,1.0,CA315,TAB.,81.87,108.61,77.76,17-Apr-22,2023-12-01,G02100,16-Apr-22
AVRECTOR 1*10,ASPEN PHARMACEUTICAL,P K PHARMA,2.0,EP220738T,TAB.,176.38,258.0,174.92,01-Feb-23,2023-12-01,A010318,31-Jan-23
PREGACYGN PLUS 1*10,CYGNOR HEALTHCARE PVT LTD,AMAR MEDICAL AGENCIES,0.5,LGL07,TAB.,109.39,160.0,114.29,04-Oct-22,2023-12-01,G17116,03-Oct-22
PREGACYGN PLUS 1*10,CYGNOR HEALTHCARE PVT LTD,AMAR MEDICAL AGENCIES,2.0,LGL07/245/01,TAB.,109.39,160.0,114.29,17-Jan-23,2023-12-01,G26272,16-Jan-23
DYTOR PLUS-10 15,CIPLA,SHRI RADHEY MEDICAL AGENCY,0.7,SB11574,TAB.,66.45,89.3,63.79,30-May-22,2023-12-01,G06937,29-May-22
CHERICOF SF SYP 100 ML,SUN PHARMACEUTICALS,NAVEEN MEDICO AGENCIES,1.0,SXD0289A,SYP,74.45,108.0,77.14,27-Sep-22,2023-12-01,A017832,27-Sep-22
AVIL.INJ 2 ML,SANOFI,SHRI RADHEY MEDICAL AGENCY,1.0,2122003,TAB.,4.2,5.11,3.75,05-Jun-22,2023-12-01,G07710,04-Jun-22
URIMAX D 15*R,CIPLA,AMBEY MEDICAL AGENCIES,0.1,GH20050,TAB.,391.14,525.74,375.53,01-Mar-22,2023-12-01,0032517,28-Mar-22
LONAZEP-0.25 15*,SUN PHARMA,NAVEEN MEDICO AGENCIES,0.12,SID0070A,TAB.,23.12,30.73,21.95,12-Oct-22,2023-12-01,A019602,11-Oct-22
RABLET-L 1*10,LUPIN,SHRI RADHEY MEDICAL AGENCY,1.0,S2281802A,TAB.,193.52,260.1,185.79,15-Jul-22,2023-12-01,G12166,14-Jul-22
RAMIPRESS 2.5 1*10,CIPLA,AMBEY MEDICAL AGENCIES,2.0,BA20500,TAB.,45.94,61.75,44.11,27-Dec-22,2023-12-01,A029088,26-Dec-22
RAMISTAR H 2.5 1*15,CADILA,SHRI RADHEY MEDICAL AGENCY,2.0,U201440,TAB.,146.75,195.15,139.39,04-Aug-23,2023-12-01,G15048,03-Aug-23
IT-MAC SB 50 10*1,MACLEODS,AMBEY MEDICAL AGENCIES,3.0,22S2GCA579,TAB.,81.02,108.9,77.78,06-Sep-23,2023-12-01,A019068,06-Sep-23
ARIP MT 2 15*,TORRENT,ASHISH MEDICAL AGENCIES,3.0,2KP4J001,TAB.,62.0,82.45,58.89,21-Feb-23,2023-12-01,A029888,20-Feb-23
ISOTINE PLUS 1,MEDILENTE,TANISHQ PHARMA,3.0,JP2206,TAB.,100.0,130.0,89.29,18-Mar-23,2023-12-01,A045061,17-Mar-23
ISOTINE EYE DROP 10ML,MICRO LABS LTD.,SHRI RANI SATI ASSOCIATES,1.0,JP/22/01,DROP,59.0,83.33,52.68,04-Sep-22,2023-12-01,A002857,03-Sep-22
ROZAVEL 10 10*120,SUN,SHRI RADHEY MEDICAL AGENCY,0.5,SIC2108A,TAB.,133.11,177.0,126.43,22-Feb-22,2023-12-01,G40571,21-Feb-22
ARIP MT 2 1*10,TORRENT,BHARAT MEDICAL AGENCIES,2.0,2KP4J001,TAB.,62.0,82.45,58.89,31-Dec-22,2023-12-01,G47272,30-Dec-22
IROZORB 1*10,MACLEODS,LARI DRUG DISTRIBUTORS,1.5,KIA21010A,TAB.,98.51,131.0,93.57,14-Aug-22,2023-12-01,A020836,13-Aug-22
ITRADERM DS 1*10,DERMAKARE,MUKTA DISTRIBUTORS,1.0,225822003,CAP.,140.63,187.0,133.57,14-Oct-22,2023-12-01,MDA031917,13-Oct-22
ARETS TAB 1*10,MICRO LABS LTD.,TANISHQ PHARMA,1.7,ARTI014,TAB.,147.39,196.0,132.88,17-Mar-23,2023-12-01,A044713,15-Mar-23
ROZUDEL F 10 1*10,DELKIN,ESTIMATE,7.5,RQYAD01,TAB.,111.29,148.0,105.71,12-Aug-23,2023-12-01,L000492,09-Aug-23
INZOFRESH-10 10,MANKIND,AGRAWAL MEDICINE,1.0,I8AFV001,TAB.,39.46,53.62,38.3,02-Mar-22,2023-12-01,0065284,01-Mar-22
INDERAL 40 15*,ABBOTT,SHRI RADHEY MEDICAL AGENCY,1.5,INB21003,TAB.,34.7,46.13,32.95,29-Jul-21,2023-12-01,G15208,28-Jul-21
SALBAIR R/C 30C,INTAS,AGRAWAL MEDICINE,1.0,U300040,TRAN,42.34,56.3,40.21,01-Jun-23,2023-12-01,A012366,01-Jun-23
IMOGRAF FORTE LOT 20 ML,CANIXA LIFE SCIENCE,MUKTA DISTRIBUTORS,1.0,2043,LOT,376.0,500.0,357.15,20-Feb-23,2023-12-01,MDA053024,17-Feb-23
CLIK CAP 1*10,IDMA LABORATORIES LTD.,NAND PHARMA,3.1,MC220731,TAB.,124.09,165.0,111.87,06-Sep-22,2023-12-01,L00347,05-Sep-22
CLIK CAP 1*10,IDMA LABORATORIES LTD.,NAND PHARMA,0.3,MC-220731,TAB.,124.08,165.0,111.87,14-Sep-22,2023-12-01,L00361,13-Sep-22
CLAVIX-AS-75 15*,INTAS,SHRI RADHEY MEDICAL AGENCY,0.0,N220179,TAB.,56.91,76.5,54.64,04-Jan-23,2023-12-01,G34625,03-Jan-23
ARPIZOL-10 1*10*1,SUN,AMBEY MEDICAL AGENCIES,0.0,SID0131A,TAB.,104.9,141.0,100.71,15-May-22,2023-12-01,A004560,14-May-22
JANUMET 50/500 15*,MSD PHARMACEUTICALS,SHRI RADHEY MEDICAL AGENCY,0.3,JMA22008,TAB.,256.68,345.0,246.43,29-Nov-22,2023-12-01,G29573,28-Nov-22
CIPLOX-OZ 1*10,CIPLA,ASHISH MEDICAL AGENCIES,3.0,AFB21C72,TAB.,79.56,105.8,75.57,21-Dec-21,2023-12-01,0034078,20-Dec-21
EFROSA 1000 10*1,AUREL BIOLIFE,AMBIKA PHARMA,0.5,FGPL177,TAB.,110.7,143.0,102.96,23-Aug-23,2023-12-01,AA003467,22-Aug-23
L CIN 500 MG 1*10,LUPIN,SHRI RADHEY MEDICAL AGENCY,0.0,J200052,TAB.,60.6,90.49,64.65,19-Jul-22,2023-12-01,G12670,18-Jul-22
RANTAC 300 30*125,J.B. CHEMICALS,KAURIRAM MEDICAL AGENCIES,3.21,GR622062,TAB,54.26,71.39,51.0,10-Jan-23,2023-12-01,0028264,09-Jan-23
LAMETEC DT 50MG 10,CIPLA (PROTEC),BHARAT MEDICAL AGENCIES,1.0,SA20278,TAB,132.41,174.21,124.44,14-Jun-22,2023-12-01,G12347,13-Jun-22
LACOSAM 150 1*10,TORRENT,AMBEY MEDICAL AGENCIES,2.0,2BP7J001,TAB.,235.19,312.75,223.39,01-Jul-22,2023-12-01,A009309,30-Jun-22
R-CIN 600 3*127,LUPIN,SHRI RADHEY MEDICAL AGENCY,1.0,A200134,CAP,18.16,23.0,17.25,10-May-22,2023-12-01,G04704,09-May-22
KUVATEX 25 1*10,FULCRUM INDIA LIFESCIENCE,JAI MATA JI MEDICAL HALL,0.1,SOT-5151,TAB.,104.9,139.5,99.64,20-Feb-23,2023-12-01,A009164,17-Feb-23
REGESTRONE 10*,TORRENT,GORAKHPUR MEDICAL AGENCIES,0.8,DAFC004,TAB.,43.09,57.3,40.93,02-Nov-22,2023-12-01,A014627,01-Nov-22
ASTHALIN 4 1*30,CADILA,RAJ MEDICAL AGENCIES,1.0,K410022,TAB.,4.54,6.04,4.31,01-Jun-21,2023-12-01,0004527,31-May-21
ASICLOPAM TAB 1*10,LEEFORD,KHATOO SHYAM PHARMA,3.7,22A-008,TAB.,25.0,110.0,22.32,05-Jun-22,2023-12-01,GA009825,04-Jun-22
KERAWASH SHAMPOO 100ML,IPCA,MUKTA DISTRIBUTORS,1.0,KWS-2109,TAB.,275.31,365.0,248.2,10-Dec-22,2023-12-01,MDA041481,09-Dec-22
KENADION 1MG/0.5ML 1MG,SAMARTH PHARMA,SHRI RADHEY MEDICAL AGENCY,9.0,IPMDA2201,INJ,11.5,15.65,11.16,11-Dec-22,2023-12-01,G31224,10-Dec-22
ASCORIL D SYP 100ML,GLENMARK,SHRI RADHEY MEDICAL AGENCY,1.0,11220168,TAB.,82.82,118.0,84.29,17-May-22,2023-12-01,G05541,16-May-22
ARZU 5 1*10,LUPIN,MANOJ PHARMA,3.5,14TAZ002,TAB.,54.89,73.0,52.14,19-Nov-22,2023-12-01,A016182,18-Nov-22
RIFAGUT 400 10*121,SUN,SHRI RADHEY MEDICAL AGENCY,0.0,GKD0062A,TAB.,272.29,366.0,261.42,17-Apr-22,2023-12-01,G02100,16-Apr-22
CIPLOX-D E/D 1*R,CIPLA,SHRI RADHEY MEDICAL AGENCY,10.0,A410282,DRP,14.11,19.96,14.26,14-Dec-21,2023-12-01,G31897,13-Dec-21
CIPLOX E/D 1*R,CIPLA,SHRI RADHEY MEDICAL AGENCY,5.0,L810018,TAB.,12.48,16.96,12.11,04-Jun-21,2023-12-01,G08755,03-Jun-21
LUPISULIN M 50 (50/50) 40 IU 10 ML,LUPIN,SHRI RADHEY MEDICAL AGENCY,3.0,T4B030122,TAB.,129.8,157.84,123.62,03-Feb-23,2023-12-01,G38782,02-Feb-23
ZUMIRA-L 10*R,HEALTHMATE,AL PHARMA,11.0,ZMLC22001,TAB.,115.21,150.0,107.15,15-Jun-22,2023-12-01,A010084,14-Jun-22
